Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Nouvelle Aquitaine,Deux Sèvres,Hébergement,APLB,MECS des Deux-Sèvres I APLB,3.0,"Le Service Hébergement Diversifié, suivis en appartements de 3 places."
Occitanie,Aveyron,Placement à Domicile,Association L'Oustal,PAD de L'Oustal I Association L'Oustal,5.0,Accueil mixte
Auvergne Rhône Alpes,Drome,Placement Familial,AMAPE,Placement familiale I AMAPE,5.0,Placement familial de l'accueil d'urgence (5 places pour des enfants de 0 à 5 ans)
Auvergne Rhône Alpes,Ain,Hébergement,Association Le Petit Chemin,Lieu de Vie Le Petit Chemin I Association Le Petit Chemin,6.0,Valeur par défaut
PACA,Hautes Alpes,Centre Educatif,Groupe SOS Jeunesse,CER des Hautes-Alpes I Groupe SOS Jeunesse,6.0,"Le CER (Centre éducatif renforcé) des Hautes-Alpes accueille et accompagne 6 garçons âgés de 13 à 18 ans, placés sous mandat judiciaire pénal pour des séjours de rupture de 4 mois et demi.
Propose un accueil, un hébergement et un accompagnement éducatif pour les 6 mineurs pris en charge, à raison de deux sessions de 20 semaines, soit 4 mois et demi. Ils sont accueillis par groupes de six (huit maximum)."
Bretagne,Finistère,Hébergement,Association Don Bosco,AE Bel-Air I Association Don Bosco,6.0,"accueille 6 jeunes de 12 à 18 ans présentant des difficultés sociales et familiales, de scolarisation et de formation, nécessitant une prise en charge différente des structures traditionnelles. "
Centre Val de Loire,Indre et Loire,Placement Familial,Sauvegarde 37,Placement familial I Sauvegarde 37,6.0,"Les enfants de 0 à 12 ans sont pris en charge par des assistants familiaux, soutenus par une équipe pluri professionnelle"
Pays de la Loire,Mayenne,Hébergement,Association Chante Clair,MECS Le Fosco I Association Chante Clair,6.0,"Un enfant ou adolescent assujetti à une mesure de l'ASE ou placés par la PJJ est issu d'un milieu familial :
- qui n'est pas en mesure de garantir sa santé (par exemple, absence de soins médicaux), sa sécurité ou sa moralité,
- dans lequel les conditions de son éducation ou de son développement physique, affectif, intellectuel et social sont gravement compromises."
Pays de la Loire,Mayenne,Hébergement,Association Chante Clair,MECS Maison de Beauvais I Association Chante Clair,6.0,"accueille en continu 6 enfants ou adolescents confiés par l’Aide Sociale à l’Enfance soit dans le cadre d’une demande des parents, soit dans le cadre d’une décision du juge des enfants."
Pays de la Loire,Mayenne,Hébergement,Association Chante Clair,MECS de l'Ernée I Association Chante Clair,6.0,"accueille en continu 6 enfants ou adolescents confiés par l’Aide Sociale à l’Enfance soit dans le cadre d’une demande des parents, soit dans le cadre d’une décision du juge des enfants."
Pays de la Loire,Mayenne,Hébergement,Association Chante Clair,MECS de Villaines-la-Juhel I Association Chante Clair,6.0,"accueille en continu 6 enfants ou adolescents confiés par l’Aide Sociale à l’Enfance soit dans le cadre d’une demande des parents, soit dans le cadre d’une décision du juge des enfants."
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Appart'é I Acolea,6.0,"6 jeunes sont accompagnés au sein d’appartements éducatifs. Nous préparons les jeunes à l’autonomie, c’est pourquoi nous leur proposons de vivre seul ou en colocation. Ils sont ainsi accompagnés par une équipe d’éducateurs mobiles, qui leur rendent visite à l’appartement et les aident dans leurs démarches personnelles et professionnelles."
Ile de France,Seine et Marne,Hébergement,Apprentis d'Auteuil,CHRS I Apprentis d'Auteuil,6.0,Accueil et hébergement de femmes enceintes ou avec enfants sans domicile ou en rupture sociale et familiale. Il dispose de six places. Service d'accompagnement social et d'insertion.
Auvergne Rhône Alpes,Ain,Hébergement,Le Prado,MECS Les Charmines I Le Prado,7.0,"Garçons, âgés de 12 à 15 ans"
Grand Est,Bas Rhin,Centre Educatif,ARSEA,CER Le Kreuzweg I ARSEA,7.0,"Le CER est un lieu de placement pour mineurs (garçons), âgés de 13 à 17 ans dans le cadre légal régissant l'accompagnement de mineurs"
Ile de France,Hauts de Seine,Hébergement,La VAGA,AE Chatenay Malabry I La VAGA,7.0,1 service d’accueil en famille (SAF) à Paris pour 7 jeunes de 6 à 21 ans.
Grand Est,Ardennes,Centre Educatif,Groupe SOS Jeunesse,CER Mustang I Groupe SOS Jeunesse,8.0,"accueillir 8 garçons, âgés de 14 à 17 ans, originaires majoritairement de la région Grand Est. Cet établissement fonctionne par sessions d’une durée de 4 mois et demi chacune et déploie son projet pédagogique à partir de la médiation animal (activité équestre) à l’interne."
Bretagne,Cotes d'Armor,Accueil de jour,L'Envol 22,AE L'Aparté I L'Envol 22,8.0,"8 Adolescents de 13 à 18 ans déscolarisés, sans projet, dans le cadre d’une mesure administrative"
Bretagne,Finistère,Hébergement,Fondation Massé-Trévisy,AE Les Iris I Fondation Massé-Trévisy,8.0,"La Maison familiale des Iris accueille 8 enfants et adolescents âgés de 8 à 17 ans (4 garçons et 4 filles) au titre de la protection de l’enfance, dans un cadre judiciaire ou administratif."
Occitanie,Lozère,Centre Educatif,Groupe SOS Jeunesse,CER Lozère I Groupe SOS Jeunesse,8.0,"accueille 8 jeunes garçons, de 13 à 18 ans"
Pays de la Loire,Mayenne,Hébergement,Département de la Mayenne,MECS d'Argentré I Département de la Mayenne,8.0,Accueil Jeunes mixtes
Bretagne,Morbihan,Centre Educatif,Groupe SOS Jeunesse,CER Morbihan I Groupe SOS Jeunesse,8.0,"accueille et accompagne huit mineurs placés sous mandat judiciaire. Il s’agit de séjours de rupture de cinq mois, en internat, avec une prise en charge intensive et encadrée, en alternative à l’incarcération."
Bretagne,Morbihan,Hébergement,Association Saint-Yves,MECS I Association Saint-Yves,40.0,"40 jeunes de 12 à 18 ans relevant de l’accueil collectif et/ou de l’accueil diversifié 
(individuel ou alternatif) ,  Groupes de 6 à 8 jeunes, dans des maisons avec jardin et chambres individuelles. Hébergement diversifié renforcé : appartements de proximités, suivi à domicile, solutions alternatives 
 Suivis de 5 à 7 jeunes par unité,  Unité AURAY : 
5 avenue de la 
Madeleine 
 Unité Lorient : 
13 rue Blanqui 
 Unité 
Malestroit : 
4 rue du bois Pivet "
Grand Est,Bas Rhin,Centre Educatif,ARSEA,CER Les Sources du Climont I ARSEA,8.0,"Le CER est un lieu de placement pour mineurs (garçons), âgés de 13 à 17 ans dans le cadre légal régissant l'accompagnement de mineurs"
Pays de la Loire,Sarthe,Hébergement,ACADEA,Accueil Urgence Claude Lespagnol I ACADEA,6.0,Dispositif d’Accueil d’Urgence accueille des mineurs (filles et garçons de 3 à 13 ans)
Ile de France,Seine Saint Denis,Centre Educatif,Groupe SOS Jeunesse,CER 93 I Groupe SOS Jeunesse ,8.0,"Les jeunes accueillis sont prioritairement originaires du département de la Seine-Saint-Denis. Le CER accueille 8 jeunes garçons, âgés de 14 à 17 ans placés par décision judiciaire"
Bretagne,Cotes d'Armor,Accueil de jour,Association Beauvallon,AETP Entre-Temps I Association Beauvallon,9.0,Entre-Temps est un service éducatif et thérapeutique permettant d’apporter des réponses à des mineurs de 12 à 18 ans en souffrance psychique. L’équipe pluridisciplinaire propose différentes modalités de réponses permettant un apaisement et la construction d’un projet personnalisé.
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,AETP L'Esquisse I L'Envol 22,9.0,9 Adolescentes de 14 à 18 ans nécessitant une prise en charge éducative et thérapeutique dans le cadre d’un placement administratif ou judiciaire
Normandie,Eure,Hébergement,L'Oasis,MECS de Gaillon I L'Oasis,50.0,Jeunes mixtes de 6 à 21ans
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Mesdoun I Association Don Bosco,9.0,"accueille 9 enfants et adolescents âgés de 8 à 15 ans, voire plus jeunes en cas d'accueil de fratrie."
Bretagne,Finistère,Hébergement,Association Don Bosco,MECS Bellevue I Association Don Bosco,9.0,Elle accueille neuf enfants et adolescents de 10 à 18 ans.
Grand Est,Haute Marne,Hébergement,Lucy Lebon,ITEP pour enfants de Saint-Dizier I Fondation Lucy Lebon,9.0,Valeur par défaut
